region,num_sake,num_company,dry_light,dry_rich,sweet_light,sweet_rich,total,dry,sweet,light,rich,dry_ratio,sweet_ratio,light_ratio,rich_ratio,dry_light_ratio,dry_rich_ratio,sweet_light_ratio,sweet_rich_ratio
Chūbu,1992,106,551,150,47,30,778,701,77,598,180,0.9010282776349614,0.09897172236503857,0.7686375321336761,0.23136246786632392,0.7082262210796915,0.1928020565552699,0.060411311053984576,0.038560411311053984
Chūgoku,2233,124,570,140,52,29,791,710,81,622,169,0.8975979772439949,0.10240202275600506,0.786346396965866,0.213653603034134,0.7206068268015171,0.17699115044247787,0.06573957016434892,0.03666245259165613
Hokkaidō,220,10,102,10,4,1,117,112,5,106,11,0.9572649572649573,0.042735042735042736,0.905982905982906,0.09401709401709402,0.8717948717948718,0.08547008547008547,0.03418803418803419,0.008547008547008548
Kansai,3663,192,853,305,76,28,1262,1158,104,929,333,0.9175911251980983,0.08240887480190175,0.7361331220285261,0.26386687797147385,0.6759112519809826,0.24167987321711568,0.060221870047543584,0.022187004754358162
Kantō,1029,66,277,49,22,0,348,326,22,299,49,0.9367816091954023,0.06321839080459771,0.8591954022988506,0.14080459770114942,0.7959770114942529,0.14080459770114942,0.06321839080459771,0.0
Kyūshū,1617,113,466,143,55,27,691,609,82,521,170,0.8813314037626628,0.11866859623733719,0.7539797395079595,0.2460202604920405,0.6743849493487699,0.20694645441389292,0.07959479015918958,0.03907380607814761
Shikoku,939,52,343,40,22,8,413,383,30,365,48,0.927360774818402,0.07263922518159806,0.8837772397094431,0.1162227602905569,0.8305084745762712,0.09685230024213075,0.053268765133171914,0.01937046004842615
Tōhoku,3113,176,1010,255,99,32,1396,1265,131,1109,287,0.9061604584527221,0.09383954154727794,0.7944126074498568,0.20558739255014327,0.7234957020057307,0.1826647564469914,0.07091690544412607,0.022922636103151862
