region,num_sake,num_company,dry_light,dry_rich,sweet_light,sweet_rich,total,dry,sweet,light,rich,dry_ratio,sweet_ratio,light_ratio,rich_ratio,dry_light_ratio,dry_rich_ratio,sweet_light_ratio,sweet_rich_ratio
West,3850,237,1036,283,107,56,1482,1319,163,1143,339,0.8900134952766532,0.10998650472334683,0.771255060728745,0.22874493927125505,0.699055330634278,0.19095816464237517,0.07219973009446694,0.037786774628879895
West_Central,4602,244,1196,345,98,36,1675,1541,134,1294,381,0.92,0.08,0.7725373134328358,0.22746268656716417,0.7140298507462687,0.20597014925373133,0.05850746268656717,0.021492537313432834
Central,3021,172,828,199,69,30,1126,1027,99,897,229,0.9120781527531083,0.08792184724689166,0.7966252220248667,0.2033747779751332,0.7353463587921847,0.17673179396092362,0.06127886323268206,0.02664298401420959
North,3333,186,1112,265,103,33,1513,1377,136,1215,298,0.9101123595505618,0.0898876404494382,0.8030403172504957,0.1969596827495043,0.7349636483807006,0.1751487111698612,0.0680766688697951,0.021810971579643092
